"id","title","level","programmeType","institution","city","credits","duration","topics","description","officialProgrammeUrl","sourceUrl","intake2027Status","intake2027Label","intake2027Note","availabilitySourceUrl","lastChecked"
"aalborg-university-aau:aalborg:arctic-studies-specialisation-of-culture","Arctic Studies, Specialisation of Culture, Communication and Globalisation","master","master","Aalborg University (AAU)","Aalborg","","2 years","society-politics | humanities-culture | communication-media","Description Arctic Studies provide an opportunity for students to focus on the Arctic as a particular field of specialisation within their chosen master’s degree programme.…","https://www.en.aau.dk/education/master/culture-communication-and-globalization/arctic-studies","https://studyindenmark.dk/portal/aalborg-university-aau/aalborg/arctic-studies-specialisation-of-culture","","","","","2026-08-02"
"funen-art-academy:odense:art-advanced-module","Art - Advanced module","master","master","Funen Art Academy","Odense","","2 years","design-architecture-arts | society-politics | education-learning","Description Funen Art Academy is a five year higher education in contemporary visual arts striving to provide students with the best foundation possible for the development of a professional and critical artistic practice in a globalised…","http://www.funenartacademy.com/","https://studyindenmark.dk/portal/funen-art-academy/odense/art-advanced-module","","","","","2026-08-02"
"funen-art-academy:odense:art-basic-module","Art - Basic module","bachelor","bachelor","Funen Art Academy","Odense","","3 years","design-architecture-arts | society-politics | education-learning","Description Funen Art Academy is a five year higher education in contemporary visual arts striving to provide students with the best foundation possible for the development of a professional and critical artistic practice in a globalised…","http://www.funenartacademy.com/","https://studyindenmark.dk/portal/funen-art-academy/odense/art-basic-module","","","","","2026-08-02"
"university-of-southern-denmark-sdu:vejle:artificial-intelligence","Artificial Intelligence","bachelor","bachelor","University of Southern Denmark (SDU)","Vejle","","3 years","it-data | engineering-technology | design-architecture-arts","Artificial Intelligence – Shaping the Future with Intelligent Technology Studying Artificial Intelligence at SDU Vejle gives you a comprehensive introduction to one of the most rapidly evolving and influential fields shaping the digital…","https://www.sdu.dk/en/uddannelse/bachelor/artificial-intelligence-vejle","https://studyindenmark.dk/portal/university-of-southern-denmark-sdu/vejle/artificial-intelligence","","","","","2026-08-02"
"the-royal-danish-academy-of-music:study-programmes-within-music-and-music-pedagogy:aural-training-master","Aural Training - Master","master","master","Royal Danish Academy of Music","Study Programmes Within Music And Music Pedagogy","","2 years","education-learning","Description As a postgraduate student of teaching aural training, you will be part of a small, but exclusive group. 1-2 students are accepted every year. The study programme is divided into two lines.…","https://www.dkdm.dk/en/education/aural-training","https://studyindenmark.dk/portal/the-royal-danish-academy-of-music/study-programmes-within-music-and-music-pedagogy/aural-training-master","","","","","2026-08-02"
"roskilde-university-ruc:roskilde:bachelor-in-global-humanities","Bachelor in Global Humanities","bachelor","bachelor","Roskilde University (RUC)","Roskilde","","3 years","society-politics | humanities-culture","The Bachelor in Global Humanities gives you an international and interdisciplinary approach to the study of the humanities.","https://ruc.dk/en/international-bachelor-humanities-int","https://studyindenmark.dk/portal/roskilde-university-ruc/roskilde/bachelor-in-global-humanities","","","","","2026-08-02"
"university-college-absalon:kalundborg:bachelor-of-engineering-in-biotechnology","Bachelor of Engineering in Biotechnology","bachelor","bachelor","University College Absalon","Kalundborg","","3,5 years","engineering-technology | natural-science | sustainability-climate | education-learning","An education for the future Do you want to study biotechnology in a study environment with a unique collaboration between University College Absalon and the biotech industry, consisting of world leading companies?…","https://en.phabsalon.dk/full-degree/bachelor-engineering-biotechnology","https://studyindenmark.dk/portal/university-college-absalon/kalundborg/bachelor-of-engineering-in-biotechnology","","","","","2026-08-02"
"university-of-copenhagen-ucph:north-campus:biochemistry","Biochemistry","master","master","University of Copenhagen (UCPH)","North Campus","","2 years","natural-science","Description The MSc programme in Biochemistry allows you to work experimentally and theoretically with biochemical and molecular problems within a focus area of your own choosing.…","https://www.ku.dk/studies/masters/biochemistry","https://studyindenmark.dk/portal/university-of-copenhagen-ucph/north-campus/biochemistry","","","","","2026-08-02"
"aalborg-university-aau:esbjerg:bioengineering-msc-in-engineering","Bioengineering, MSc in Engineering","master","master","Aalborg University (AAU)","Esbjerg","","2 years","engineering-technology | natural-science | sustainability-climate","Description The need for societies in balance in terms of use of resources, production of waste and impact on the environment is more urgent than ever.…","https://www.en.aau.dk/education/master/bioengineering/","https://studyindenmark.dk/portal/aalborg-university-aau/esbjerg/bioengineering-msc-in-engineering","","","","","2026-08-02"
"university-of-copenhagen-ucph:north-campus:bioinformatics","Bioinformatics","master","master","University of Copenhagen (UCPH)","North Campus","","2 years","it-data | natural-science","Description As a student of Bioinformatics you will learn to solve biological problems by means of mathematical and statistical calculation methods by use of a computer.…","https://www.ku.dk/studies/masters/bioinformatics","https://studyindenmark.dk/portal/university-of-copenhagen-ucph/north-campus/bioinformatics","","","","","2026-08-02"
"aarhus-university-au:aarhus:bioinformatics","Bioinformatics","master","master","Aarhus University (AU)","Aarhus","","2 years","it-data | health-life-science | natural-science | society-politics","A fusion of biology, statistics, and computer science, the MSc in Bioinformatics programme explores the development and application of computational solutions for analysing and handling biological and biomedical data.…","https://masters.au.dk/bioinformatics","https://studyindenmark.dk/portal/aarhus-university-au/aarhus/bioinformatics","","","","","2026-08-02"
"university-of-southern-denmark-sdu:odense:biology","Biology","master","master","University of Southern Denmark (SDU)","Odense","","2 years","natural-science | sustainability-climate | communication-media","Description The Department of Biology has strong foundations in research with special focus on Environmental Stress , Sound Communication and Behaviour , Ecology , Evolutionary Biodemography , Arctic Biology and Earth Evolution .…","https://www.sdu.dk/en/uddannelse/kandidat/biologi","https://studyindenmark.dk/portal/university-of-southern-denmark-sdu/odense/biology","","","","","2026-08-02"
"university-of-copenhagen-ucph:north-campus:biology","Biology","master","master","University of Copenhagen (UCPH)","North Campus","","2 years","natural-science | sustainability-climate","Description As an MSc student of Biology you will be part of a rapidly developing field in which modern biology is integrating molecular techniques in the solution of biological problems such as climate change, pollution, diseases and loss…","https://www.ku.dk/studies/masters/biology","https://studyindenmark.dk/portal/university-of-copenhagen-ucph/north-campus/biology","","","","","2026-08-02"
"aarhus-university-au:aarhus:biology","Biology","master","master","Aarhus University (AU)","Aarhus","","2 years","design-architecture-arts | natural-science","The Master’s programme in Biology will strengthen your analytical skills and develop both your critical and creative way of thinking. Enhancing the fundamental biological knowledge gained in your bachelor’s degree, you will experience many…","https://masters.au.dk/biology","https://studyindenmark.dk/portal/aarhus-university-au/aarhus/biology","","","","","2026-08-02"
"university-of-copenhagen-ucph:campus-kalundborg:biosolutions","Biosolutions","master","master","University of Copenhagen (UCPH)","Campus Kalundborg","120","2 years","health-life-science | natural-science | sustainability-climate | society-politics","Description This programme trains you to work with the development of sustainable biological production of foods, biomaterials, biologicals, and environmental technologies.…","https://www.ku.dk/studies/masters/biosolutions","https://studyindenmark.dk/portal/university-of-copenhagen-ucph/campus-kalundborg/biosolutions","","","","","2026-08-02"
"university-of-copenhagen-ucph:north-campus:biology-biotechnology","Biotechnology","master","master","University of Copenhagen (UCPH)","North Campus","","2 years","engineering-technology | health-life-science | natural-science","Description Where biology teaches us to understand nature, biotechnology gives us the chance to use it. As an MSc student of Biotechnology, you will be working with biotechnological problems related to health and diseases in humans, animals…","https://www.ku.dk/studies/masters/biotechnology","https://studyindenmark.dk/portal/university-of-copenhagen-ucph/north-campus/biology-biotechnology","","","","","2026-08-02"
"aarhus-university-au:aarhus:biotechnology-and-chemical-engineering","Biotechnology and Chemical Engineering","master","master","Aarhus University (AU)","Aarhus","","2 years","engineering-technology | natural-science | sustainability-climate | society-politics","Developing and optimising biotechnological and chemical processes plays a key role in modern society. Competitive industries will be environmentally sustainable, efficient in terms of resources and energy, and technologically advanced.…","https://masters.au.dk/biotechchemical","https://studyindenmark.dk/portal/aarhus-university-au/aarhus/biotechnology-and-chemical-engineering","","","","","2026-08-02"
"aalborg-university-aau:aalborg:biotechnology-msc-in-engineering","Biotechnology, MSc in Engineering","master","master","Aalborg University (AAU)","Aalborg","","2 years","engineering-technology | health-life-science | natural-science | society-politics","Description Biotechnology combines biology, chemistry, medicine, and engineering sciences for the discovery, development and production of products ranging from fuels and foods over complex proteins to specialised pharmaceuticals and whole…","https://www.en.aau.dk/education/master/biotechnology","https://studyindenmark.dk/portal/aalborg-university-aau/aalborg/biotechnology-msc-in-engineering","","","","","2026-08-02"
"university-of-southern-denmark-sdu:odense:brand-management-and-marketing-communication","Brand Management and Marketing Communication","master","master","University of Southern Denmark (SDU)","Odense","","2 years","business-management | communication-media","Description This programme focuses on marketing communication processes from the corporate to the brand level using advanced socio-cultural theoretical perspectives on consumer markets.…","https://www.sdu.dk/en/Uddannelse/Kandidat/CandMercBrandMgmtMarkCommOd","https://studyindenmark.dk/portal/university-of-southern-denmark-sdu/odense/brand-management-and-marketing-communication","","","","","2026-08-02"
"via-university-college:campus-herning:branding-and-marketing-management-top-up-2027","Branding and Marketing Management — Design & Business","bachelor","top-up-bachelor","VIA University College","Herning","90 ECTS","1 year 6 months","business-management | communication-media | design-architecture-arts","Anglický Top-up program pro absolventy kompatibilního AP degree. Prohlubuje branding, marketing, komunikaci a práci s fashion a lifestyle značkami.","https://en.via.dk/programmes/bachelor/design-and-business-bachelor-top-up","https://studyindenmark.dk/portal/via-university-college/campus-herning/branding-and-marketing-management-design-business","confirmed-2027","Poslední nástup: srpen 2027","Vyžaduje kompatibilní AP degree nebo srovnatelné předchozí vzdělání. Současná 1,5letá varianta po tomto nástupu končí.","https://en.via.dk/programmes/bachelor/design-and-business-bachelor-top-up/political-reform","2026-08-02"
"via-university-college:campus-herning:branding-and-marketing-management-ap-2027","Branding and Marketing Management — Design, Technology & Business","bachelor","ap-degree","VIA University College","Herning","120 ECTS","2 years","business-management | communication-media | design-architecture-arts","Dvouletý praktický AP program propojující branding, marketing, retail, komunikaci a lifestyle business. Studium probíhá v angličtině v Herningu.","https://en.via.dk/programmes/bachelor/design-technology-and-business-ap-degree","https://studyindenmark.dk/portal/via-university-college/campus-herning/branding-and-marketing-management-design","confirmed-2027","Nástup 2027/28 potvrzen","VIA výslovně uvádí, že tento AP program pokračuje i v létě 2027. Přesné datum a deadline ověř před podáním přihlášky.","https://en.via.dk/programmes/bachelor/design-and-business-bachelor-top-up/political-reform","2026-08-02"
"aalborg-university-aau:aalborg:building-energy-design-msc-in-technology","Building Energy Design, MSc in Technology","master","master","Aalborg University (AAU)","Aalborg","","2 years","engineering-technology | design-architecture-arts | natural-science | sustainability-climate","Description Are you interested in energy optimisation, renewable energy in building design, building operations, and indoor climate? As a Master of Science in Technology in Building Energy Design, you will work with reduction and…","http://www.en.aau.dk/education/master/building-energy-design","https://studyindenmark.dk/portal/aalborg-university-aau/aalborg/building-energy-design-msc-in-technology","","","","","2026-08-02"
"aarhus-university-au:aarhus:business-administration-business-innovation","Business Administration - Business Innovation","master","master","Aarhus University (AU)","Aarhus","","2 years","business-management | society-politics","The MSc in Business Administration - Business Innovation is a unique international double degree programme that is offered jointly by Aarhus BSS and UCLouvain in Belgium.…","https://masters.au.dk/business-administration/business-innovation","https://studyindenmark.dk/portal/aarhus-university-au/aarhus/business-administration-business-innovation","","","","","2026-08-02"
"aarhus-university-au:aarhus:business-administration-business-psychology","Business Administration - Business Psychology","master","master","Aarhus University (AU)","Aarhus","","2 years","business-management","The MSc in Business Administration - Business Psychology addresses the increasing demand for business professionals with a deep understanding of psychology in a business context.…","https://masters.au.dk/business-administration/businesspsychology","https://studyindenmark.dk/portal/aarhus-university-au/aarhus/business-administration-business-psychology","","","","","2026-08-02"
"copenhagen-business-school-cbs:frederiksberg-campus:business-administration-and-bioentrepreneurship","Business Administration and Bioentrepreneurship (MSc)","master","master","Copenhagen Business School (CBS)","Frederiksberg / Copenhagen","","2 years","business-management | engineering-technology","Description MSc in Business Administration and Bioentrepreneurship, BIO, is a full-time two year programme. The programme offers Denmark's first university degree and academic courses bridging business and biotech.…","https://www.cbs.dk/en/study-programmes/master-programmes/msc-business-administration-and-bioentrepreneurship","https://studyindenmark.dk/portal/copenhagen-business-school-cbs/frederiksberg-campus/business-administration-and-bioentrepreneurship","","","","","2026-08-02"
"copenhagen-business-school-cbs:frederiksberg-campus:business-administration-and-data-science","Business Administration and Data Science (MSc)","master","master","Copenhagen Business School (CBS)","Frederiksberg / Copenhagen","","2 years","business-management | it-data | natural-science","Description This programme uniquely combines hard analytical skills with an understanding of the relevant business data context for application.…","https://www.cbs.dk/en/study-programmes/master-programmes/msc-business-administration-and-data-science","https://studyindenmark.dk/portal/copenhagen-business-school-cbs/frederiksberg-campus/business-administration-and-data-science","","","","","2026-08-02"
"copenhagen-business-school-cbs:frederiksberg-campus:business-administration-and-digital-business","Business Administration and Digital Business (MSc)","master","master","Copenhagen Business School (CBS)","Frederiksberg / Copenhagen","","2 years","business-management | it-data","Description On Digital Business, you learn to link practical management and business understanding with a strong understanding of digital tools and current and emerging platforms - for services, information, data retrieval, analysis and…","https://www.cbs.dk/en/study-programmes/master-programmes/msc-business-administration-and-digital-business","https://studyindenmark.dk/portal/copenhagen-business-school-cbs/frederiksberg-campus/business-administration-and-digital-business","","","","","2026-08-02"
"copenhagen-business-school-cbs:frederiksberg-campus:business-administration-and-digital-management-bsc","Business Administration and Digital Management (BSc)","bachelor","bachelor","Copenhagen Business School (CBS)","Frederiksberg / Copenhagen","","3 years","business-management | it-data","Description BSc in Business Administration and Digital Management, DM, gives you an understanding of the possibilities as well as challenges that digitalisation creates for companies.…","https://www.cbs.dk/en/study-programmes/bachelor-programmes/bsc-business-administration-and-digital-management","https://studyindenmark.dk/portal/copenhagen-business-school-cbs/frederiksberg-campus/business-administration-and-digital-management-bsc","","","","","2026-08-02"
"copenhagen-business-school-cbs:frederiksberg-campus:business-administration-and-information-systems","Business Administration and Information Systems (MSc)","master","master","Copenhagen Business School (CBS)","Frederiksberg / Copenhagen","","2 years","business-management | it-data | engineering-technology","Description You learn how to use information and information technology to add value to companies and organisations. You gain an understanding of how IT affects the organisational structure and financial results of a company – and how the…","https://www.cbs.dk/en/study-programmes/master-programmes/msc-business-administration-and-information-systems","https://studyindenmark.dk/portal/copenhagen-business-school-cbs/frederiksberg-campus/business-administration-and-information-systems","","","","","2026-08-02"
"copenhagen-business-school-cbs:frederiksberg-campus:business-administration-and-innovation-in-health","Business Administration and Innovation in Health Care","master","master","Copenhagen Business School (CBS)","Frederiksberg / Copenhagen","","2 years","business-management | design-architecture-arts | health-life-science","Description Through a thorough understanding of the challenges that health care systems are facing around the world, you will learn to analyse health care innovations as business cases and develop actionable skills for their design and…","https://www.cbs.dk/en/study/graduate/msc-in-business-administration-and-innovation-in-health-care","https://studyindenmark.dk/portal/copenhagen-business-school-cbs/frederiksberg-campus/business-administration-and-innovation-in-health","","","","","2026-08-02"
"roskilde-university-ruc:roskilde:business-administration-and-leadership","Business Administration and Leadership","master","master","Roskilde University (RUC)","Roskilde","","2 years","business-management | law","The programme is open for admission for students with a legal right of admission only The master's programme in Business Administration and Leadership produces business administration graduates who have insight into various perspectives on…","https://ruc.dk/en/master/business-administration-and-leadership","https://studyindenmark.dk/portal/roskilde-university-ruc/roskilde/business-administration-and-leadership","","","","","2026-08-02"
"copenhagen-business-school-cbs:frederiksberg-campus:business-administration-and-service-management-bsc","Business Administration and Service Management (BSc)","bachelor","bachelor","Copenhagen Business School (CBS)","Frederiksberg / Copenhagen","","","business-management | society-politics","Description BSc SEM combines business economics and service sector studies and gives you an in-depth understanding of how to market, sell and organise a service in national as well as international markets.…","https://www.cbs.dk/en/study-programmes/bachelor-programmes/bsc-business-administration-and-service-management","https://studyindenmark.dk/portal/copenhagen-business-school-cbs/frederiksberg-campus/business-administration-and-service-management-bsc","","","","","2026-08-02"
"copenhagen-business-school-cbs:frederiksberg-campus:business-administration-and-sociology-bsc","Business Administration and Sociology (BSc)","bachelor","bachelor","Copenhagen Business School (CBS)","Frederiksberg / Copenhagen","","3 years","business-management | society-politics","Description In BSc in Business Administration and Sociology, SOC, you learn how to make responsible business decisions by combining the economic and social perspectives on companies, their organisation and their surroundings.…","https://www.cbs.dk/en/study-programmes/bachelor-programmes/bsc-business-administration-and-sociology","https://studyindenmark.dk/portal/copenhagen-business-school-cbs/frederiksberg-campus/business-administration-and-sociology-bsc","","","","","2026-08-02"
"copenhagen-business-school-cbs:frederiksberg-campus:business-and-development-studies-msc","Business and Development Studies (MSc)","master","master","Copenhagen Business School (CBS)","Frederiksberg / Copenhagen","","2 years","business-management | society-politics","Description You will learn to analyse the interaction between international business and economic development with a strong focus on developing countries and emerging markets.…","https://www.cbs.dk/en/study-programmes/master-programmes/msc-business-language-and-culture-business-and-development","https://studyindenmark.dk/portal/copenhagen-business-school-cbs/frederiksberg-campus/business-and-development-studies-msc","","","","","2026-08-02"
"university-of-southern-denmark-sdu:odense:business-language-and-culture-negot","Business, Language and Culture (negot)","master","master","University of Southern Denmark (SDU)","Odense","","2 years","business-management | society-politics | humanities-culture","Description This programme enables you to negotiate in a global context by providing you with business know-how, cultural expertise and practical communicative skills.…","http://www.sdu.dk/en/uddannelse/kandidat/negot","https://studyindenmark.dk/portal/university-of-southern-denmark-sdu/odense/business-language-and-culture-negot","","","","","2026-08-02"
"university-of-southern-denmark-sdu:sonderborg:business-language-and-culture-sonderborg-flensburg","Business, Language and Culture (Sønderborg/Flensburg)","master","master","University of Southern Denmark (SDU)","Sønderborg","","2 years","business-management | society-politics | humanities-culture","Description Extend your knowledge in the areas of business economics and business language. Faced with growing political, economic, cultural and social globalisation, business employees will have to be able to work across national and…","https://www.sdu.dk/en/uddannelse/kandidat/cand_merc_int","https://studyindenmark.dk/portal/university-of-southern-denmark-sdu/sonderborg/business-language-and-culture-sonderborg-flensburg","","","","","2026-08-02"
"via-university-college:campus-viborg:character-animation","Character Animation","bachelor","bachelor","VIA University College","Campus Viborg","210","3,5 years","other","Learn how to make the audience believe that the character is alive with feelings and personality. As an animator, you create the magic of the character and invoke the empathy of the audience.","https://animationworkshop.via.dk/programmes-and-courses/bachelor-programmes/character-animation","https://studyindenmark.dk/portal/via-university-college/campus-viborg/character-animation","","","","","2026-08-02"
